,Tweets,,,
644,"Grateful to H.E. 
@president_uz
 Shavkat Mirziyoyev for the relief goods Uzbekistan  has sent for the flood affectees in Pakistan. The people of Pakistan greatly acknowledge the kind gesture of support at this time of need. With the help of our friends, we will build back better.",,,
645,"Pakistan today observes the martyrdom anniversary of Mohtarama Benzair Bhutto Shaheed. A crusader for human rights & democracy, she left an indelible mark on politics of the country. The void left by her passing has continued to widen over the years.",,,
646,"People of IIOJK are waging a relentless struggle of epic proportions to realise their dream of freedom from the Indian yoke. Through their sacrifices, they have kept the torch of freedom burning. It is my faith that their dreams will soon see the light of day.",,,
647,We have allocated billions of rupees for targeted subsidies. This amount is in addition to Rs. 344 billion allocated for BISP. Only deserving people to get the subsidy.,,,
648,"These are difficult times brought upon us by recent years of economic mismanagement. Through this budget, my govt will steer our way out of these challenges by taking tough decisions while minimising impact on vulnerable segments of population.",,,
649,"In this article I wrote for The Guardian, I explain the recovery, rehabilitation & reconstruction challenges facing Pakistan after one of the worst floods due to climate change.",,,
650,"Over the years, IDEAS has evolved into a platform that highlights Pakistan's growing footprint in the global defence market. Arms for Peace, theme of IDEAS’22, reflects Pakistan's desire for peace & stability. Good to see that our defence sector is catering to demands of tech era",,,
651,بولان کے پہاڑوں سے گوادر کے ساحلوں تک کے غیور بلوچوں کو آج بلوچی تقافت کا دن بہت بہت مبارک ہو۔ پاکستان کی خوبصورتی بلوچی  تہذیب و تمدن کے رنگوں اور پاکستان کی تاریخ بہادر بلوچوں کی قربانیوں کے بغیر نا مکمل ہے۔,,,
652,"So, this Sunday, it’s: 

152/0 vs 170/0 

  #T20WorldCup",,,
653,آج میں بلوچستان ہیلی کاپٹرسانحے میں شہیدہونے والےمیجر طلحہ منان کےگھر گیا، میں نے اہلِ خانہ سےتعزیت اور شہید کیلئے فاتحہ کی. آزادی کا دن ہمارےشہداء کی ناقابلِ فراموش قربانیوں کو خراجِ تحسین پیش کئےبغیر مکمل نہیں ہو سکتا. ہمارے شہداء نےہمیشہ اپنےلہو سےپاک وطن کی حفاظت کی ہے.,,,
654,"A big thank you to Heads of states & governments, European Union, our development partners & United Nations for making Resilient Pakistan Conference a resounding success. UN Secretary General has shown stellar leadership all along. People of Pakistan will forever remain grateful.",,,
655,میں نے صحافی ارشد شریف کی اندوہناک موت کی تحقیقات کے لیے جوڈیشل کمیشن بنانے کا فیصلہ کیا ہے تاکہ شفاف اور فیصلہ کن انداز میں اس افسوس ناک واقعہ کے حقائق کا تعین ہو سکے۔,,,
656,"Departing for visit to Turkey. Time has come for Pakistan & Turkey to leverage their excellent bonds to upgrade bilateral ties. Era of regional connectivity, shared development & common destiny calls for a fresh approach. Look forward to discussing this with my brother 
@RTErdogan",,,
657,"As humanity navigates multiple challenges & seeks to break the logjam it finds itself in, it must seek guidance from exemplary character of Imam Hussain (ra) & his companions. The virtues of patience, loyalty, unity & tolerance can defeat the forces of division, chaos & anarchy.",,,
658,Leaving for Gwadar today. Will review progress on the ongoing development work. Will also oversee the signing of MoU with Indus Hospital for construction of a world-class hospital. Development is meaningless if it does not translate into uplift of local people's lives.,,,
659,انہوں نے ثابت کیا ہے کہ پاکستانی خواتین کوہ پیمائی کے صبر آزما کھیل میں مردوں سے پیچھے نہیں۔ امید ہے ثمینہ بیگ دنیا بھر میں پاکستان کا پرچم اسی جذبے سے لہراتی رہیں گی۔,,,
660,گرین لائن میں پہلا سفر، مسافروں کے تاثرات,,,
661,A great day for Pakistan Navy as it has included 2nd MILGEM Class Warship in its fleet. Thanks to H.E. President Tayyip Erdogan for Turkey's cooperation in the defence sector. It signifies the deepening of multipronged partnership between our two brotherly countries.  ,,,
662,تمام پاکستانی سقواڈرن لیڈر سرفراز رفیقی، فلائٹ لیفٹیننٹ یونس حسن،فلائنگ آفیسرمحمد افضل، سقواڈرن لیڈر منیر الدین سمیت پاک فضائیہ کے تمام شہداء کی شکرگزار ہیں جن کی عظیم قربانیوں نے اپنے سے 4 گنا بڑے دشمن کے ناپاک عزائم کوخاک میں ملا دیا.,,,
663,I am deeply grieved on the loss of precious lives including of our Chinese friends in the heinous attack in Karachi today. My heartfelt condolences go to the bereaved families. I strongly condemn this cowardly act of terrorism. The perpetrators will surely be brought to justice.,,,
664,"In a phone call last night, Bill Gates & I discussed polio eradication challenges in our flood-hit areas. Government will continue to work with Bill & Melinda Gates Foundation to ensure no child remains at risk of this deadly virus. I thanked Mr Gates for his consistent support.",,,
665,"We welcome the signing of historic Agreement between KSA  & Iran  for resumption of diplomatic relations. This China-mediated deal augurs well for peace, stability & economic development in ME & Muslim world. It shows that with collective wisdom, win-win outcomes are possible",,,
666,"I strongly condemn dastardly assassination attempt on  Head of Mission, Kabul. Salute to brave security guard, who took bullet to save his life. Prayers for the swift recovery of security guard. I 
demand immediate investigation & action against perpetrators of this heinous act",,,
667,میں نے آج بلوچستان ہیلی کاپٹر سانحے کے شہداء کے جنازے میں شرکت کی اور انکے درجات کی بلندی کیلئے دعا کی. سیلاب میں پھنسے بے یار و مددگار لوگوں کی مدد کرتے اپنی جانوں کا نظرانہ پیش کرنے والے ان بہادر افسران اور جوانوں کو مجھ سمیت پوری قوم سلام پیش کرتی ہے.,,,
668,"While we celebrate our hard-earned independence, Pakistan at 75 calls for deep reflection. We have yet to fully realize the dream that our founding fathers dreamed; the dream of socio-economic justice, rule of & equality before the law & the dream of egalitarian society.",,,
669,نیب ریفرنس میں احسن اقبال کی بریت سے 2 حقائق ثابت ہوتے ہیں؛ سابق وزیر عمران خان کے کہنے پر PMLN اور اس کے راہنماؤں کو جھوٹے مقدمات میں پھنسانے کے لئے نیب ہر حد تک گئی اور ناجائز قیدوبند میں رکھا۔ احسن اقبال جیسے شریف اور ایماندار شخص کی دیانت داری پوری قوت سے پھر ثابت ہوئی۔,,,
670,"I urge Imran Khan to file a defamation case against Financial Times for publishing an indicting article. If he doesn't & I am sure he wouldn't, it will prove one more time how brazenly he is lying & cheating the people of Pakistan.",,,
671,"I launched PM's Youth Business & Agriculture Loan Scheme yesterday. This new scheme builds on a number of youth development programs. From PEEF loans to laptop scheme to self-employment scheme, PML-N has demonstrated its commitment to youth empowerment under leadership of MNS.",,,
672,"Land is a limited asset, which is being swallowed up by housing societies. We will introduce measures to discourage unproductive use of land. I am convinced that agriculture can turn around our economy, provided we support it through a set of enabling policies.",,,
673,Signing of Trade in Goods Agreement between Pakistan & Turkey today will open up vistas of opportunities. This Agreement will be pivotal in achieving the initial trade target of $5 billion. There is an unlimited potential for bilateral trade. Let the world know we mean business.,,,
674,"Today's pre-budget business conference is part of our national dialogue on the economy. I will interact with the business community & other stakeholders associated with commerce, industry and trade. Vital to include their input in economic decision-making.",,,
675,"I congratulate His Highness Sheikh Ahmad Nawaf Al Ahmad Al-Jaber Al-Sabah on his appointment as Prime Minister of Kuwait. I look forward to working closely with him to further strengthen Pakistan-Kuwait fraternal relations, rooted deep in shared values & commonality of interests.",,,
676,"I extend my heartiest congratulations to H.E. President Qasym-Jamort Toqayev 
@TokayevKZ
 on his victory in Kazakhstan's presidential elections. Both Pakistan & Kazakhstan have excellent brotherly relations & I look forward to working with the President to further deepen them.",,,
677,بلوچستان سے آرمی ایوی ایشن کے ہیلی کاپٹر کی گمشدگی تشویشناک ہے۔ پوری قوم اللہ تعالیٰ کے حضور سیلاب متاثرین کی مدد پر نکلنے والے وطن کے ان بیٹوں کی سلامتی، حفاظت اور بخیریت واپسی کے لئے دعا گو ہے۔ ان شاءاللہ,,,
678,"As I stated in my address at UNGA, terrorism continues to threaten not just Afghanistan & Pakistan but also the world. The international community should not let its guard down. Strengthening global cooperation against changing threat matrix of terrorism is need of the hour.",,,
679,The delegation came to express Turkey’s soldarity with  at this most difficult time in our history. We derive great strength and confidence from  support and cannot thank President Erdogan enough. This visit reflects unwavering bond of brotherhood between us.,,,
680,"As the holy month of Ramazan draws to a close, I want to wish a happy & blessed Eid Mubarak to Muslims & overseas Pakistanis across the world. I also extend warm Eid greetings to my fellow Muslim leaders & reaffirm Pakistan’s resolve to further strengthen our ties.",,,
681,"As I continued my interaction with world leaders on day 3 of UNGA Session, there has been a massive outpouring of sympathy & solidarity with Pakistan on flood disaster.Time has come for world to translate this solidarity into concrete action to help Pakistan overcome this crisis.",,,
682,"Biraz önce eyalet başbakanlarıyla görüştüm ve onlardan Türkiye'deki depremzedeler için ulusal yardım kampanyasına sahip çıkmalarını istedim. Bu, yüzyılın en büyük depremi. İki Devlet Tek Millet olarak yaşayan bizler her zaman Türk kardeşlerimizin yanında olmaya devam edeceğiz.",,,
683,"In my interaction with Turkish business community last night, I expressed my keen desire to take volume of bilateral trade to $5 billion in 2 years. We will take necessary steps to facilitate visas for Turkish citizens & business persons to boost trade & people-to-people contacts",,,
684,"While I am in Turkey inking agreements, Imran Niazi is making naked threats against the country. If at all any proof was needed that Niazi is unfit for public office, his latest interview suffices. Do your politics but don't dare to cross limits & talk about division of Pakistan.",,,
685,"As Chair of G-77, I will urge the world to deliver on its commitment on climate finance & loss and damage fund. Without financial support, the developing countries will continue to remain exposed to the multifarious threats of climate change. We are asking for climate justice.2/3",,,
686,"On the 99th Republic Day of Turkiye, I extend our heartiest felicitations to President 
@RTErdogan
 & the people of Turkiye. The heroic struggle of Turkish people for independence under the leadership of Ghazi Mustafa Kemal Ataturk holds a prominent place in the annals of history.",,,
687,"In a phone call with Managing Director of the IMF yesterday, I told her about the government's resolve to complete the terms of IMF's program. I also explained Pakistan's economic difficulties especially after the devastating floods. IMF delegation will come to Pakistan soon.",,,
688,Just returned from Peshawar. The sheer scale of the human tragedy is unimaginable. This is no less than an attack on Pakistan. The nation is overwhelmed by a deep sense of grief. I have no doubt terrorism is our foremost national security challenge.,,,
689,World should take note of Indian govt's mistreatment of political prisoners in IIOJK. Conviction of prominent Kashmiri leader Yasin Malik on fake terrorism charges is futile effort 2 silence voices critical of India's blatant human rights abuses. Modi regime must b held 2 account,,,
690,أتقدم بأحر التعازي، وخالص المواساة لحكومة وشعب سوريا الذين عانوا خسائر بشرية ومادية جسيمة جراء الزلزال الكارثي في وقت مبكر من صباح اليوم.,,,
691,Deeply saddened to learn about the passing of Pope Emeritus Benedict XVI. He would be mourned by millions around the world including in Pakistan. May his soul rest in eternal peace.,,,
692,"Merry Christmas to the Christian community around the world & particularly our Pakistani Christian brothers & sisters. Jesus Christ's teachings of love, brotherhood & peace are beacon of light for us. On this Day, let us all renew our pledge to work for peace & prosperity for all",,,
693,پنجاب میں گزشتہ دور حکومت میں تباہ حال سالڈ ویسٹ مینجمٹ کے نظام کو بحال کرنے اور کئی سالوں بعد آلائشوں اور فضلے کے سد باب اور صفائی ستھرائی کے احسن انتظامات کرنے پر وزیرِ اعلی پنجاب اور انکی ٹیم پزیرائی کی مستحق ہے. مجھے پوری امید ہے کہ یہ معیار مستقل بنیادوں پر قائم رہے گا.,,,
694,"Hükümetimiz, Türkiye için devam eden kurtarma ve yardım çalışmalarını ülke çapında bir kampanyaya dönüştürmeye karar vermiştir. İş dünyasının, din alimlerinin ve eğitim kurumlarının desteğini alacağız. Pakistan bu zor anlarında Türkiye'nin yanında olmaya devam edecektir.",,,
695,"Dear brother 
@presidentaz
, we are saddened on hearing news of the loss of more than 70 Azerbaijani servicemen in unprovoked attack by Armenia. The people of Pakistan stand in solidarity with their brethren & support Azerbaijan’s right to defend its territorial integrity.",,,
696,My argument at the COP event was that the world needed to continue with a win-win approach to deliver on the landmark development. Transitional Committee has its plate full with time running out fast. We have to build on the hope by resetting our priorities for a bright future.,,,
697,"Türkiye'deki trafik kazasında ölen ve yaralanan birçokları hakkındaki haberler bizi üzdü. Pakistan hükümeti ve halkı adına, Cumhurbaşkanı 
@RTErdogan
 ve acılı ailelere yürekten başsağlığı dileklerimizi iletirim.  ",,,
698,"We may not have the real Mr Bean, but we have real cricketing spirit .. and we Pakistanis have a funny habit of bouncing back :)

Mr President: Congratulations. Your team played really well today. ",,,
699,"The supreme sacrifice rendered by Hazrat Imam Hussain (ra) & his family drew a distinct line between the forces of truth & falsehood, and the oppressor & the oppressed. The great Imam established a moral principle that has animated the struggles for right to self-determination.",,,
700,"Hakka yürüyen din alimi Şeyh Mahmud Efendi'nin vefatı sadece Türkiye için değil tüm İslam dünyası için büyük bir kayıptır. Takva, alçakgönüllülük gibi İslami ahlakı en iyi şekilde hayatında yaşadı. Efendi’nin sevenlerine, Türk milletine ve hükümetine en derin taziyelerimi sunarım",,,
701,What a game of football it was! Saudi Arabia made history today by staging the biggest upset in FIFA World Cup thriller against Argentina. Heartiest congratulations to HRH Crown Prince Mohammed Bin Salman. We share the happiness of our Saudi brothers & sisters on this great win.,,,
702,"Policemen who got martyred in Bolan, Balochistan, today are heroes of the nation. May their souls rest in peace! My heartfelt condolences & prayers are with the bereaved families.",,,
703,Unfortunate that Qatar is being subjected to a barrage of propaganda as host of FIFA World Cup. It should rather be commended for wonderful arrangements for mega event & being a promoter of global peace & development. Pakistan stands in solidarity with HH Emir & peole of Qatar ,,,
704,"Team Pakistan  

You have beaten all odds to reach the World Cup Final. I know you have the passion, motivation and determination to win. Believe in yourself & play your best game. The entire nation stands behind you. 

Good luck",,,
705,وفاقی کابینہ نے سیلاب متاثرہ خاندانوں کیلئے فی خاندان 25000 کی فوری نقد امداد کیلئے مختص فنڈ کو 28 ارب سے بڑھا کر 70 ارب کر دیا ہے. یہ اضافہ سیلاب کی وسیع پیمانے پر تباہ کاریوں کو دیکھتے ہوئے کیا گیا ہے. یہ رقوم BISP کے ذریعے تقسیم کی جا رہی ہیں.,,,
706,"First, Pakistan & Qatar have a clear vision of the future, one that offers new opportunities & avenues in a swiftly changing world. Second, there is a greater awareness of the need for upgrading the bilateral relations by making economic cooperation the pivot of bilateral ties.",,,
707,"Reliance on imported energy, which is about  $27 billion annually, is unsustainable. Government's focus on leveraging the indigenous & renewable sources of electricity will make the country self-reliant in terms of energy security & provide massive relief to the common man. 3/3",,,
708,"Nations derive their strength from the youth who power their journey & animate their future. This in turn requires investment in their development. Some power-hungry politicians have had no qualms about making them prey for their partisan agenda, which is unfortunate.",,,
709,"پچھلے چار مہینوں میں پوری قوم نے دیکھا کہ عمران نیازی نے افواج پاکستان کی قیادت کے خلاف کس طرح کے القابات استعمال کیے۔ان کے سوشل میڈیا ٹرولز نےافواج کے خلاف نفرت سے بھرپور ٹرینڈز چلائے۔ کیا شہداءکے خاندان یہ سب بھول جائیں گے؟

نیازی خود کو بے وقوف بنا سکتے ہیں، قوم کو نہیں۔",,,
710,"The social media campaign belittling & ridiculing the sacrifices of our martyrs was horrifying. This is what self-righteous political narratives do: they poison the minds of the youth & weaponise hate speech. Which way are we headed? 

The moment calls for a deep reflection.",,,
711,امید ہے کہ پاکستانی کرکٹ ٹیم کھیل کے اسی بہترین معیار کو برقرار رکھتے ہوئے مستقبل میں بھی شائقین کی امیدوں پر پورا اترے گی۔,,,
712,Islamabad ,,,
713,"I spoke to  Prime Minister @CMShehbaz today and welcomed 75 years of friendship between the UK and Pakistan.

I look forward to working together to strengthen trade, prosperity and international peace and security.",,,
714,"On World Environment Day today, the theme of #OnlyOneEarth is a clarion call for a united global action to address multifaceted challenge of climate change. It is critical that developing countries are provided with climate financing to fight environmental hazards.",,,
715,"The continued persecution of Hurriyat leader Yasin Malik by India is part of a plan to deprive Kashmiris of their representative voices. From fabricated cases to sham trial, impunity with which India is violating human rights of political workers should alarm rights defenders.",,,
716,پوری دنیاکےمسلمانوں کوشبِ برآت مبارک ہو۔ آئیں سب مل کر آج وطنِ عزیز کی ترقی و خوشحالی کیلئےرب کےحضور دعاکریں۔ میری ربِ باری تعالی سےدعاہےکہ وہ پاکستان کےسیلاب زدگان،ترکیہ و شام کےزلزلہ متاثرین کی مصیبتوں میں کمی اورکشمیر و فلسطین کےمسلمان بہن بھائیوں کی مشکلات کاخاتمہ کرے۔ آمین!,,,
717,زراعت ہماری معیشت کی ریڑھ کی ہڈی ہے. میں نے زرعی شعبے میں اصلاحات کیلئے 8 سب کمیٹیاں تشکیل دے دی ہیں. حکومت کسانوں کو آسان قرضوں، معیاری بیج اور کیڑے مار ادویات تک آسان رسائی یقینی بنائے گی. ہم آنے والے چند دنوں میں زرعی شعبے کی ترقی کے لیے اہم فیصلے کریں گے.,,,
718,Kashmir Martyrs' Day is a reminder of sacrifices Kashmiris have rendered for their inalienable & UN-sanctioned right to self-determination. The flame of freedom from the Indian yoke has been kept alive by the generations of Kashmiris in the face of Indian tyranny & oppression.,,,
719,BREAKING NEWS: Weightlifter Nooh Dastagir Butt wins GOLD MEDAL for Pakistan in commonwealth games with a record lift of 405kg.,,,
720,"Deeply indebted to the United Nations 
@UN
 for launching $160 million Flash Appeal for the flood victims in Pakistan. What Pakistan is facing today could not be put better than what UN Secretary General 
@antonioguterres
 described as ""awash in suffering"". The world should act now.",,,
721,2022پاکستان کیلئےایک اور مشکل سال تھا۔بدترین سیلاب نےہماری معاشی مشکلات میں اضافہ کیا۔سالِ نو کیلئےمیرا عہد ہےکہ میں اس سال اپنا وقت اورتمام تر توانائیاں پاکستان کےلوگوں کی تکالیف کو کم کرنے،سیلاب زدگان کی بحالی اورپاکستان کوترقی و استحکام کی راہ پر گامزن کرنےکیلئےاستعمال کرونگا۔,,,
722,My congratulations and best wishes to the Chairman Joint Chiefs of Staff Committee-designate Lt. General Sahir Shamshad Mirza and Chief of the Army Staff-designate Lt. General Asim Munir on their appointment.,,,
723,تیزی سے بڑھتی ملکی آبادی کے چیلینجز سے نبٹنے کیلئے ہمیں ہر شعبے میں ایسے منفرد منصوبوں کی ضرورت ہے۔ یہ موبائل اسکول کم لاگت پر کسی بھی معیاری سکول جیسی تعلیم فراہم کرنے کی صلاحیت رکھتے ہیں جن کی تعداد کو جلد 8 بسوں سے بڑھا کر 16 بسیں کر دیا جائے گا۔ 2/2,,,
724,COAS Gen Qamar Javed Bajwa's address at Royal Military Academy Sandhurst UK as chief guest is not just a matter of honour for the armed forces but also for Pakistan. This is a recognition of the Pakistan-UK strategic partnership & the success of our armed forces in war on terror.,,,
725,I express my sincere sympathy to the people & government of Japan who are facing the ravages of Hurricane Nanmodal. Only goes to show that climate change does not follow a linear pattern & can bring disaster to any country. The world needs to wake up to horrors of this monster.,,,
726,"Congratulations to Team Pakistan   for a great series win. And what an amazing finish today with Nawaz, Haider & Harris playing significant role. All the best to Babar-11 for the upcoming T20 World Cup.",,,
727,"During his visit to the flood-affected areas & camps under scorching heat, UN Secrtary General was overwhelmed by the scale of devastation that has engulfed Pakisan. His voice has become the voice of flood victims. The world should pay heed to what he said about climate change.",,,
728,"My point was that international community, particularly the developed world, should not leave developing countries like Pakistan at the mercy of climate change. If it is us today, it can be somebody else tomorrow. Threat of climate change is real, potent & staring us in the face.",,,
729,مجھے کوئٹہ جانے والی بس کے نالے میں گرنے سے 19 افراد کے جاں بحق ہونے پر گہرا دکھ اور رنج ہے۔ اللہ تعالی مرحومین کے درجات بلند کریں۔ میری تمام تر ہمدردیاں سوگواران کے ساتھ ہیں۔ زخمی افراد کو بہترین اور فوری طبی سہولیات کی فراہمی کے لیے ہدایات جاری کی ہیں۔,,,
730,"In my meeting with Mr. Duarte Pacheco, President of Inter-Parliamentary Union today, a representative body of 178 Parliaments, I underscored how fake news poses a threat to democracy. Together with fabrication, it can rob people of their democratic rights & violate human rights.",,,
731,Leaving for 2-day visit to Türkiye at the invitation of my brother H.E. President Tayyip Erdogan. Inauguration of third MILGEM Corvette Ship represents deepening of defence cooperation b/w our two brotherly countries. High level exchanges are a defining feaure of our partnership.,,,
732,پنجاب کے 20 حلقوں کے عوام سے اپیل ہے کہ بھرپور جذبے  کے ساتھ گھروں سے نکلیں، ووٹ کا حق استعمال کریں، آپ کے مستقبل کا دارومدار اس پرچی پر ہے۔ بزرگ، مائیں اور مردوخواتین آج فیصلہ دیں کہ پنجاب اور پاکستان میں خدمت کا راج ہوگا، نالائقی، جھوٹ اور کرپشن کا نہیں۔,,,
733,"Just saw off a cargo plane carrying relief goods of 20-tonne for the earthquake victims of Turkiye. Pakistan  has established an air, land & sea bridge for the provision of relief assistance for our brothers & sisters in Syria  and Türkiye ",,,
734,I was set to visit the UAE on Sept 3 on the invitation of HH the President. We mutually decided to postpone the visit so that I could focus on the ongoing rescue & relief activities. We will forever be indebted to our brothers & sisters who have stood by us in this challenge.,,,
735,"I send my heartfelt condolences and most sincere sympathies to H.E. Pushpa Kamal Dahal Pranchanda 
@cmprachanda
 on the tragic crash of a passenger aircraft. Our thoughts and prayers are with the bereaved families & the people of Nepal ",,,
736,حالیہ تباہ کن سیلاب نے لاکھوں ایکڑ پر تیار فصلوں کو تباہ کر دیا۔ پاکستان جیسے زرعی ملک کو بھی اس نقصان کے ازالے کیلئے اشیاءِ خوردنوش درآمد کرنا پڑیں گی۔ آج خوراک کا عالمی دن دنیا کے مختلف ممالک کے غذائی تحفظ کو یقینی بنانے کیلئے مجموعی عالمی اقدامات کی اہمیت اجاگر کرتا ہے۔ /۱,,,
737,آج ہمارے قائد میاں محمد نواز شریف کے اپنے پاکستانیوں کے ساتھ عہد کی پاسداری کرتےہوئے306 کلومیٹرطویل سکھر-حیدر آباد موٹروےکاسنگِ بنیاد رکھ دیا گیا ہے. بلاشبہ پاکستان میں موٹرویز کی تعمیر کا سہرا صرف اور صرف قائد میاں محمد نواز شریف کو ہی جاتا ہے.,,,
738,"Together we will overcome all the challenges with resolve and determination, InshaAllah! ",,,
739,There is no question of a cut in the budget of Higher Education Commission. I am aware of the negative effect that cuts have had on higher education during the past four years. I have given clear directions to Planning Commission & Ministry of Finance in this regard.,,,
740,بلوچستان دورے کے دوران میری گزشتہ روز اسسٹنٹ کمشنر مچھ عائشہ زہری اور NHAکے ان حکام اور مزدوروں سے ملاقات ہوئی جو سیلابی ریلہ گزرنےکے بعد محنت اور لگن سے شاہراہوں، پبلک ورکس اور انفرسٹرکچر کی بحالی کیلئے کام کر رہے ہیں. آپ سب قوم کےہیروز ہیں اورمجھ سمیت پوری قوم کو آپ پر فخر ہے,,,
741,میں ضمنی انتخابات کیلئے انتھک کوششوں پر پاکستان مسلم لیگ ن کے راہنماؤں اور ورکرز کا مشکور ہوں. مریم نواز نے پارٹی کیلئے بہترین انتخابی مہم چلائی. پر امن انتخابات کے انعقاد پر وزیرِ اعلی حمزہ شہباز کی قیادت میں پنجاب حکومت مبارکباد کی مستحق ہے.,,,
742,I have decided to form a Judicial Commission to hold an inquiry into the killing of journalist Arshad Sharif in order to determine the facts of the tragic incident in a transparent & conclusive manner.,,,
743,"Grateful to my brother His Excellency President 
@RTErdogan
 for his expression of sympathies to people of Pakistan  on the loss of precious lives. Turkey  has always stood by Pakistan. We derive great comfort from this bond of love & acknowledge his offer of support.",,,
744,پولیس کےجوان عدیل حسین نے آج دھماکے میں اپنی جان کا نذرانہ پیش کرکے اسلام آباد کو بہت بڑے حادثے سے بچا لیا۔ بلاشبہ ہماری پولیس کےجوانوں کی قوم کی حفاظت کی خاطر قربانیاں نا قابلِ فراموش ہیں۔دھشگردوں کی مزموم کاروائیاں پاکستانی قوم کےحوصلے پست کرنےمیں ہمیشہ کی طرح ناکام رہیں گی۔,,,
745,"PM's speech at Future Investment Initiative Conf
""We are living through truly transformational times.Throughout history such times hve triggered political,social, environmental & economic changes.These changes hve been powered by imagination, innovation & action""#PMShehbazAtFII6",,,
746,"Professional Pakistanis are pride of the country who have made their mark in various fields around the world. Today, on my instructions, Minister for Planning Mr Ahsan Iqbal is launching ‘Champions of Reforms’ (COR) network: http://pc.gov.pk/web/cor 1/2",,,
747,بحثت اليوم مع رئيس وزراء باكستان @CMShehbaz آفاق تعزيز العلاقات المتينة والتاريخية بين بلدينا الشقيقين في شتى المجالات، كما ناقشنا آخر التطورات الإقليمية والدولية وسبل تنسيق جهودنا المشتركة في دعم الأمن والاستقرار في منطقتنا والعالم.,,,
748,"Given the domestic demand, I have ordered a complete ban on the export of sugar. There will be a strict action against smuggling & hoarding. Absolutely zero tolerance for those found negligent in their duties.",,,
749,آج میں شہید برگیڈیئر مصطفی کمال برکی کے جنازے کے موقع پر ان کے پسماندگان اور بالخصوص بچوں کے بارے میں سوچتا رہا۔ قوم کبھی بھی شہداء کے خاندانوں کا شکریہ ادا نہیں کر سکتی جن کے پیاروں نے اپنی جان مادر وطن کی حرمت پر قربان کر دی۔ یہ عظیم خاندان قوم کے محسن ہیں۔,,,
750,Mian Nawaz Sharif's govt ended the worst load-shedding in 5 years. PTI govt neither purchased fuel in time nor repaired power plants. Hence the current load-shedding. Costly power generation through inefficient plants is costing the people Rs.100 billion/month. We are fixing it.,,,
751,"If anyone had any doubt, Imran Niazi's antics of the last few days have laid bare his fascist & militant tendencies. From using people as human shields to throwing petrol bombs at police to leading 'jathas' to intimidate judiciary, he has taken a leaf out of the RSS book.",,,
752,Important to understand context of visit. The world is experiencing slow economic recovery from Covid-19. Geo-political tensions have affected supply chains & rising energy & food prices have added more woes. Our shared challenges call for exploring new avenues for cooperation.,,,
753,I pay my rich tributes to Shaheed Mohtarama Benazir Bhutto on her 69th birthday. Our democracy is poorer without her & the void left by her martyrdom will never be filled. She fearlessly & staunchly advocated the causes she believed in. May Allah rest her soul in peace,,,
754,We have launched a new anti-polio campaign with a renewed zeal & focus. There is a complete synergy of thought and action among the provinces & other stakeholders to eradicate polio. A polio-free Pakistan is our national goal.,,,
755,"In my interaction with world leaders on the sidelines of #COP27, I explained the challenges of the post-flood reconstruction in Pakistan. I threw light on govt's efforts & highlighted the urgent need for continued international support for rehabilitation of flood victims.",,,
756,"Heartiest congratulations to 
@BBhuttoZardari
 on the start of his public service career. I am confident he will add tremendous value to our foreign policy and inject it with a fresh perspective. I wish him the very best & look forward to working with him.",,,
757,"Our post-disaster needs assessment has shown that Pakistan's journey to recovery & rehabilitation can be held back by public debt, rising international energy & food prices and lack of access to adaption funds. The world should treat Pakistan as a case study. 3/3",,,
758,"I am grateful to H.E. President Ignazio Cassis 
@ignaziocassis
 for his message of solidarity with the people of Pakistan at this difficult time. We gratefully acknowlege the President's gesture of sending a team of Swiss experts to do the need assessment for humanitarian support.",,,
759,"Living nations put themselves to rigorous audit by comparing their performance to the ideals. This is their way of introspection & accountability. I have my unwavering faith in the Idea of Pakistan to defeat odds. On 23rd March today, let us awaken the spirit of service to nation",,,
760,"Had very productive discussions with H.E. Mr Jang Jiechi, Member of Politburo of Communist Party of China yesterday. The visit represented continuation of high-level exchanges & reflected our mutual desire to further strengthen our All-Weather Strategic Cooperative Partnership.",,,
761,"Last but not the least, I am grateful to H.E. President Ilham Aliyev 
@presidentaz
 for Azerbaijan’s  continuing support for flood victims of Pakistan. Such kind gestures are not only morale boosting for the flood-affected people but also rebuild our faith in the shared humanity.",,,
762,حضرت امام حسین ؓ اور اہلِ بیت  کی عظیم قربانیوں نے حق و باطل، ظالم و مظلوم کے درمیان قیامت تک نہ مٹنے والی واضح لکیر کھینچ دی. امامِ عالی مقام نے اس اخلاقی اصول کی بنیاد رکھی جس نے حقِ خودارادیت کیلئے کی جانے والی جدوجہد کو دوام بخشا.,,,
763,"شہباز شریف سےمیرا سوال: کیا تحریک انصاف کے خوف کی وجہ سےمیڈیاپر ہماری زباں بندی, اہلِ صحافت پر تشدد اورانکےخلاف جھوٹےمقدموں کے اندراج، ٹی وی اور یوٹیوب پر مجھےاورتحریک انصاف کو بلیک آؤٹ کرنےاورمیری فلڈریلیف ٹیلی تھون کی نشریات روکنےجیسی مذموم کوشش کے آپ ذمہ دار ہیں؟",,,
764,"Truly an inspirational video package from Balochistan. Pakistan is better off when its girls show their resolve to make a mark in life. Educated, skilled & fearless daughters are the future of a thriving Pakistan. What they need is an opportunity to excel. More power to them! ",,,
